Easy to use and purchase	16 hours ago	2022-09-10	Rated 5 out of 5 stars		55f8ebb60000ff0001dc1e07	1
MAID INSURANCE	20 hours ago	2022-09-10	Rated 1 out of 5 stars	NOT USER FRIENDLY	631ac3fc499c0f001378347b	1
Car Renewal Insurance	A day ago	2022-09-09	Rated 5 out of 5 stars	Smooth transaction via online renewal	631a0595460e3e0013d01cf3	1
Efficient and easy	2 days ago	2022-09-08	Rated 5 out of 5 stars		6319d123804e6a0012378a4c	1
user friendly	2 days ago	2022-09-08	Rated 5 out of 5 stars		63194cf0a09d850012fec379	1
Simple & User Friendly Platform	2 days ago	2022-09-08	Rated 5 out of 5 stars	It was straight forward and the discount given entice me to take up the policy. With a small sum, I was able to cover for any emergency while driving to and within Malaysia. Will defintely encourage my friends to consider FWD for their insurance needs. Thank you FWD!!	6319460f9c69470012db410d	1
App hang when i was trying to…	2 days ago	2022-09-08	Rated 2 out of 5 stars	"App hang when i was trying to checkout.... told me ""sorry try again"""	62315fc619d3f800123f0def	1
easy, fuss-free	3 days ago	2022-09-07	Rated 5 out of 5 stars	Easy and fuss-free way to get travel insurance	627d1a7d6695530012b207b3	1
Fast and easy to understand	3 days ago	2022-09-07	Rated 4 out of 5 stars	Fast and easy to understand. Process and procedures simple to do.b	613db0a19c660600127e48cd	1
Called in to make inquiries	3 days ago	2022-09-07	Rated 5 out of 5 stars	Called in to make inquiries. Able to connect to CSO almost immediately while my current Ins. Comp says to 30 mins. Hence I switched. Very helpful CSO, Ms Christina patiently assisted me with the steps. Done deal.	63183149a09d850012fdf5fd	1
Straight forward and easy to understand	4 days ago	2022-09-06	Rated 5 out of 5 stars	This is my first time buying a maid insurance policy from FWD. The website that link me to the purchase is straight forward and easy to understand. Will recommend to friends.	631711ac2f71cb001200567f	1
Fast and Easy	4 days ago	2022-09-06	Rated 5 out of 5 stars	FWD has always been fast and easy to buy and claim if needed.	6316e3b86d00b500143ae811	1
fuss free with fast transaction.	4 days ago	2022-09-06	Rated 5 out of 5 stars		6316b7357ddda50012be8bd5	1
We do not have to create an account and…	4 days ago	2022-09-06	Rated 5 out of 5 stars	We do not have to create an account and we can purchase the travel insurance right away and also including the covid enhancement.I would like to know about the Promo S10 cash if I do my transaction through paynow	6316023c85e28700121b1400	1
Well done and excellent service 👍	5 days ago	2022-09-05	Rated 5 out of 5 stars		6315d06285e28700121ae3c7	1
Easy to navigate and understand info on…	5 days ago	2022-09-05	Rated 5 out of 5 stars	Easy to navigate and understand info on screen.	6125aa661b2f3400156bd7cd	1
So easy !!!	5 days ago	2022-09-05	Rated 5 out of 5 stars	Application process is so easy and smooth...	631552f87ddda50012bdab79	1
Very easy yo use.	5 days ago	2022-09-05	Rated 5 out of 5 stars		63154356c28fba001275796f	1
website not optimised for Macbook so i…	6 days ago	2022-09-04	Rated 2 out of 5 stars	website not optimised for Macbook so i experienced problems renewing. Tried a few times then i can renew. frustrating! even this feedback i can't scroll down.	631404372181d70013de2cac	1
Please don't send any promotion details…	6 days ago	2022-09-04	Rated 4 out of 5 stars	Please don't send any promotion details to me.	6313667bb2a0a300148ac630	1
Looking for the Pets and Dog and…	7 days ago	2022-09-03	Rated 3 out of 5 stars	Looking for the Pets and Dog and Personal Insurance to add on. But could not find it.	63132068b2a0a300148a9335	2
Renewal of Fire Insurance Cover	7 days ago	2022-09-03	Rated 4 out of 5 stars	Good website with in-depth information on various policies and other schemes.  Easy to navigate.	63131bf42181d70013dda380	2
Customer Dervice officer Ms Christina…	7 days ago	2022-09-03	Rated 5 out of 5 stars	Customer Dervice officer Ms Christina was extremely helpful and patient in guiding me through the renewal process.	6312cb12c28fba0012743c71	2
Clearly guideline with step by step and…	Sep 2, 2022	2022-09-02	Rated 5 out of 5 stars	Clearly guideline with step by step and easy to follow.	6312145e9b2c46001286cb2a	2
Good Choice	Sep 2, 2022	2022-09-02	Rated 5 out of 5 stars	Fast, convenient, and cheaper.	6311ba22ea47af0012c3b055	2
MY  PREVIOUS POLICY WITH FWD HAD…	Sep 2, 2022	2022-09-02	Rated 5 out of 5 stars	MY  PREVIOUS POLICY WITH FWD HAD EXPIRED IN AUGUST. I WANTED A NEW POLICY FOR A TRANSFER MAID. I CALLED YOUR HOTLINE AND SPOKE TO YOUR OFFICER Ms SHERLYN - SHE WAS VERY HELPFUL AND TOOK ME THROUGH THE PROCESS. IT MADE MY JOB VERY SIMPLE. HER SERVICES, MUCH APPRECIATED.	5d7f942bab50505247640eef	2
Refund required	Sep 1, 2022	2022-09-01	Rated 5 out of 5 stars	Tracy was very attentive and helpful with processing our refund request. It was a rather smooth and stress free process working with her. Thanks!	63107eeec28fba001272e66b	2
last claim	Sep 1, 2022	2022-09-01	Rated 5 out of 5 stars	My last claim reimbursement process was simple and efficient. Hence, I am coming back to purchase the travel insurance for my next trip again.	63101dbe9b2c4600128596c7	2
